date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:18	97/97	---M-Z	200	added ('OK')	text/plain	etag:%225c313c212b362101bb51e519343e8df2%22	https://lcoyearth.framer.website/robots.txt		(from )
22:56:19	194241/194241	---M-Z	200	added ('OK')	text/html	etag:%223d4ecc158022a530e1d2822aa624b743%22	https://lcoyearth.framer.website/	C:/My%20Web%20Sites/LCOY%20new/lcoyearth.framer.website/index.html	(from )
22:56:19	3677/3677	---M--	200	added ('OK')	image/png	etag:%22c6bff91066e875fbdf309b664c3e30a7%22	https://framerusercontent.com/sites/icons/default-favicon.v3.png	C:/My%20Web%20Sites/LCOY%20new/framerusercontent.com/sites/icons/default-favicon.v3.png	(from https://lcoyearth.framer.website/)
22:56:21	1597525/1597525	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2025%20Apr%202024%2017:26:20%20GMT	https://framerusercontent.com/images/TO7gCSWeT64ICKrdSyluwmGpT0.jpg	C:/My%20Web%20Sites/LCOY%20new/framerusercontent.com/images/TO7gCSWeT64ICKrdSyluwmGpT0.jpg	(from https://lcoyearth.framer.website/)
22:56:21	11731/11731	---MC-	200	added ('OK')	image/png	date:Thu,%2025%20Apr%202024%2017:26:21%20GMT	https://framerusercontent.com/images/3UhCXierbUi8jPF9UUQ8asaJNi0.png	C:/My%20Web%20Sites/LCOY%20new/framerusercontent.com/images/3UhCXierbUi8jPF9UUQ8asaJNi0.png	(from https://lcoyearth.framer.website/)
22:56:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Apr%202024%2017:26:21%20GMT	https://lcoyearth.framer.website/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%2014%2014%22%3E%3Cpath%20d%3D%22M%203%205.5%20L%207%209.5%20L%2011%205.5%22%20fill%3D%22transparent%22%20stroke-width%3D%222%22%20stroke%3D%22%23888%22%20stroke-linecap%3D%22round%22%20stroke-linejoin%3D%22round%22%3E%3C%2Fpath%3E%3C%2Fsvg%3E&apos;	C:/My%20Web%20Sites/LCOY%20new/lcoyearth.framer.website/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2014%2014___path%20d=_M%203%205.5%20L%207/path__/svg_&apos;	(from https://lcoyearth.framer.website/)
22:56:21	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Apr%202024%2017:26:21%20GMT	https://lcoyearth.framer.website/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns=%22http:/www.w3.org/2000/svg%22%20xmlns:xlink=%22http:/www.w3.org/1999/xlink%22%20viewBox=%220%200%2014%2014%22%3E%3Cpath%20d=%22M%203%205.5%20L%207%209.5%20L%2011%205.5%22%20fill=%22transparent%22%20stroke-width=%222%22%20stroke=%22%23888%22%20stroke-linecap=%22round%22%20stroke-linejoin=%22round%22%3E%3C/path%3E%3C/svg%3E&apos;	C:/My%20Web%20Sites/LCOY%20new/lcoyearth.framer.website/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2014%2014___path%20d=_M%203%205.5%20L%207/path__/svg_&apos;	(from https://lcoyearth.framer.website/)
22:56:23	163685/163685	---M-Z	200	added ('OK')	text/html	etag:%22a714ee4d3205b27f01ac09b5c90b12d5%22	https://lcoyearth.framer.website/resources	C:/My%20Web%20Sites/LCOY%20new/lcoyearth.framer.website/resources.html	(from https://lcoyearth.framer.website/)
22:56:24	297722/297722	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2025%20Apr%202024%2017:26:24%20GMT	https://framerusercontent.com/images/FuvHgpTdoCsyPeNhKW6j7Shrfc.jpeg	C:/My%20Web%20Sites/LCOY%20new/framerusercontent.com/images/FuvHgpTdoCsyPeNhKW6j7Shrfc.jpg	(from https://lcoyearth.framer.website/)
22:56:26	2801427/2801427	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2025%20Apr%202024%2017:26:25%20GMT	https://framerusercontent.com/images/wSXXwujpJOBwpsJR60qcvQiNO8.jpg	C:/My%20Web%20Sites/LCOY%20new/framerusercontent.com/images/wSXXwujpJOBwpsJR60qcvQiNO8.jpg	(from https://lcoyearth.framer.website/)
22:56:34	308877/308877	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2025%20Apr%202024%2017:26:28%20GMT	https://framerusercontent.com/images/1PoIaLiJfp7jGdlQefMcY6TwRw.jpg?scale-down-to=1024	C:/My%20Web%20Sites/LCOY%20new/framerusercontent.com/images/1PoIaLiJfp7jGdlQefMcY6TwRwbf23.jpg	(from https://lcoyearth.framer.website/resources)
22:56:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Apr%202024%2017:26:28%20GMT	https://lcoyearth.framer.website/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%2020%2020%22%3E%3Cg%3E%3Cdefs%3E%3Cpath%20d%3D%22M%202%204%20C%202%202.895%202.895%202%204%202%20L%2016%202%20C%2017.105%202%2018%202.895%2018%204%20L%2018%2016%20C%2018%2017.105%2017.105%2018%2016%2018%20L%204%2018%20C%202.895%2018%202%2017.105%202%2016%20Z%22%20id%3D%22a1002z%22%3E%3C%2Fpath%3E%3CclipPath%20id%3D%22a1003z%22%3E%3Cuse%20xlink%3Ahref%3D%22%23a1002z%22%3E%3C%2Fuse%3E%3C%2FclipPath%3E%3C%2Fdefs%3E%3Cuse%20xlink%3Ahref%3D%22%23a1002z%22%20fill%3D%22%23333%22%20clip-path%3D%22url(%23a1003z	C:/My%20Web%20Sites/LCOY%20new/lcoyearth.framer.website/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2020%2020___g__defs__path%20d=_M/path__clip/defs__use%20xlink_href=_#	(from https://lcoyearth.framer.website/resources)
22:56:35	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Apr%202024%2017:26:35%20GMT	https://lcoyearth.framer.website/%26apos;data:image/svg+xml;utf8,%3Csvg%20xmlns=%22http:/www.w3.org/2000/svg%22%20xmlns:xlink=%22http:/www.w3.org/1999/xlink%22%20viewBox=%220%200%2020%2020%22%3E%3Cg%3E%3Cdefs%3E%3Cpath%20d=%22M%202%204%20C%202%202.895%202.895%202%204%202%20L%2016%202%20C%2017.105%202%2018%202.895%2018%204%20L%2018%2016%20C%2018%2017.105%2017.105%2018%2016%2018%20L%204%2018%20C%202.895%2018%202%2017.105%202%2016%20Z%22%20id=%22a1002z%22%3E%3C/path%3E%3CclipPath%20id=%22a1003z%22%3E%3Cuse%20xlink:href=%22%23a1002z%22%3E%3C/use%3E%3C/clipPath%3E%3C/defs%3E%3Cuse%20xlink:href=%22%23a1002z%22%20fill=%22%23333%22%20clip-path=%22url(%23a1003z	C:/My%20Web%20Sites/LCOY%20new/lcoyearth.framer.website/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2020%2020___g__defs__path%20d=_M/path__clip/defs__use%20xlink_href=_#-4	(from https://lcoyearth.framer.website/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%2020%2020%22%3E%3Cg%3E%3Cdefs%3E%3Cpath%20d%3D%22M%202%204%20C%202%202.895%202.895%202%204%202%20L%2016%202%20C%2017.105%202%2018%202.895%2018%204%20L%2018%2016%20C%2018%2017.105%2017.105%2018%2016%2018%20L%204%2018%20C%202.895%2018%202%2017.105%202%2016%20Z%22%20id%3D%22a1002z%22%3E%3C%2Fpath%3E%3CclipPath%20id%3D%22a1003z%22%3E%3Cuse%20xlink%3Ahref%3D%22%23a1002z%22%3E%3C%2Fuse%3E%3C%2FclipPath%3E%3C%2Fdefs%3E%3Cuse%20xlink%3Ahref%3D%22%23a1002z%22%20fill%3D%22%23333%22%20clip-path%3D%22url(%23a1003z)
